symbol,mode,signal,entry,exit,days_held,entry_px,exit_px,ret_pct,pnl_eur,reason
TESLA,复利,2015-08-26,2015-08-28,2015-09-01,2,16.5653,16.0227,-3.376,-534.98,t4 日内止损
TESLA,复利,2015-10-15,2015-10-19,2015-10-20,1,15.2067,14.9025,-2.1,-321.55,t3 日内止损
TESLA,复利,2016-03-07,2016-03-09,2016-03-10,1,13.9147,13.6364,-2.1,-314.8,t3 日内止损
TESLA,复利,2016-03-17,2016-03-21,2016-03-22,1,15.888,15.5702,-2.1,-308.19,t3 日内止损
TESLA,复利,2016-03-24,2016-03-29,2016-03-31,2,15.342,15.0352,-2.1,-301.72,t4 日内止损
TESLA,复利,2016-09-15,2016-09-19,2016-09-21,2,13.756,13.4809,-2.1,-295.38,t4 日内止损
TESLA,复利,2016-10-10,2016-10-12,2016-10-13,1,13.434,13.1653,-2.1,-289.18,t3 日内止损
TESLA,复利,2016-12-16,2016-12-20,2016-12-29,6,13.9193,14.312,2.721,366.83,收盘价低于 SMA5
TESLA,复利,2017-01-19,2017-01-23,2017-01-30,5,16.5947,16.7087,0.587,81.28,收盘价低于 SMA5
TESLA,复利,2017-05-24,2017-05-26,2017-06-09,9,21.676,23.8213,9.797,1364.69,收盘价低于 SMA5
TESLA,复利,2018-01-17,2018-01-19,2018-01-24,3,23.3347,23.0593,-1.28,-195.75,收盘价低于入场价
TESLA,复利,2018-10-31,2018-11-02,2018-11-05,1,23.094,22.6321,-2.1,-317.06,t3 日内止损
TESLA,复利,2018-11-07,2018-11-09,2018-11-12,1,23.3673,22.9,-2.1,-310.4,t3 日内止损
TESLA,复利,2018-11-13,2018-11-15,2018-11-20,3,23.2293,23.166,-0.373,-53.92,收盘价低于入场价
TESLA,复利,2018-12-03,2018-12-06,2018-12-10,2,24.204,23.7199,-2.1,-302.75,t4 日内止损
TESLA,复利,2019-06-13,2019-06-17,2019-06-20,3,15.002,14.6413,-2.504,-353.43,收盘价低于入场价
TESLA,复利,2019-09-25,2019-09-27,2019-09-30,1,16.142,15.8192,-2.1,-288.97,t3 日内止损
TESLA,复利,2019-11-11,2019-11-13,2019-11-20,5,23.074,23.4813,1.665,224.35,收盘价低于 SMA5
TESLA,复利,2020-01-29,2020-01-31,2020-02-05,3,43.3713,48.98,12.832,1757.44,收盘价低于 SMA5
TESLA,复利,2020-04-16,2020-04-20,2020-04-21,1,49.7573,48.6747,-2.276,-351.7,t3 日内止损
TESLA,复利,2020-06-05,2020-06-09,2020-06-12,3,62.7113,62.352,-0.673,-101.63,收盘价低于入场价
TESLA,复利,2020-07-09,2020-07-13,2020-07-14,1,99.804,97.8079,-2.1,-315.0,t3 日内止损
TESLA,复利,2020-12-24,2020-12-29,2021-01-14,11,221.9967,281.6667,26.779,3932.49,收盘价低于 SMA5
TESLA,复利,2021-01-19,2021-01-21,2021-01-28,5,281.6633,278.4767,-1.231,-229.25,收盘价低于入场价
TESLA,复利,2021-05-26,2021-05-28,2021-06-02,2,208.4067,204.2385,-2.1,-386.16,t4 日内止损
TESLA,复利,2022-01-28,2022-02-01,2022-02-02,1,310.4167,304.2083,-2.1,-378.05,t3 日内止损
TESLA,复利,2022-03-08,2022-03-10,2022-03-11,1,279.4333,273.8447,-2.1,-370.11,t3 日内止损
TESLA,复利,2022-07-19,2022-07-21,2022-07-26,3,271.7067,258.86,-4.828,-833.05,收盘价低于入场价
TESLA,复利,2022-07-28,2022-08-01,2022-08-05,4,297.2767,288.17,-3.163,-519.46,收盘价低于入场价
