策略分组,标的,近252日年化波动率_%,近252日日均成交额,近20日收益_%,近60日收益_%,收盘相对SMA50_%,历史交易日数,交易数,胜率 (%),盈利因子,最大回撤 (%),累计收益率 (%)
高流动性－低波动,EEFT,33.69049006510649,52331732.64694214,23.541921115022625,2.4691347345546344,15.164827395912939,2514,14,21.43,0.909,-10.28,-2.009899999999998
高流动性－低波动,EFSC,24.637359366702604,10403252.91481018,8.501044481421062,17.077827973990868,7.564467313885248,2514,20,25.0,0.941,-9.72,-1.4349999999999974
高流动性－低波动,ENSG,28.972894275458554,72229016.16210938,11.474133148804434,-8.02277002656645,2.929475662254588,2514,23,21.74,0.856,-18.64,-4.831600000000003
高流动性－低波动,EQIX,22.978029446837713,452647263.7298584,-6.609650818913582,-7.464530528540914,-3.930721843116447,2514,17,23.53,0.319,-17.55,-18.2079
高流动性－低波动,ERIE,35.08560402521489,45483299.86038208,2.7900869069253265,-9.076000976562504,0.18546411003736996,2514,16,37.5,2.358,-4.43,20.17610000000001
高流动性－低波动,ESLT,44.529918524914045,69115142.51556396,-5.922128545278282,-13.870400475481159,-6.5226072760229625,2514,13,46.15,2.387,-13.93,25.484799999999996
高流动性－低波动,EVRG,16.03685306328441,153790154.43611145,3.7454501065340873,7.471116265497568,1.9596122383330083,2514,11,45.45,4.501,-2.5,17.670099999999998
高流动性－低波动,EWBC,25.602768138695176,95746945.30334473,6.079967559580379,10.181020810394315,6.082474289078421,2514,17,29.41,0.621,-21.45,-13.065499999999997
高流动性－低波动,EXC,19.256572247200552,326752270.20988464,0.9823115799000082,0.8722147968994065,1.0392195124825587,2514,12,25.0,2.647,-3.2,12.039299999999997
高流动性－低波动,EXE,31.223183516344065,333337584.0854645,1.3221359532089583,-8.540891765052017,-3.7829604233489578,1364,12,16.67,0.254,-21.68,-21.355400000000003
高流动性－低波动,EXEL,38.719457523271345,104965788.33675385,7.724905284762995,19.359658463669515,6.829684306905892,2514,11,36.36,1.571,-4.41,6.951200000000002
高流动性－低波动,EXLS,35.8142155375583,57768783.96062851,8.600075264137995,-10.886077508007997,-0.44685850616607015,2514,13,23.08,0.512,-11.76,-7.122399999999995
高流动性－低波动,EXPE,47.9038637259317,392604428.51104736,11.569114081905418,1.5759572237216357,11.817161193584514,2514,16,37.5,1.429,-8.28,9.61479999999999
高流动性－低波动,EXPO,31.730060503475134,28640397.541809082,10.529094292021956,-6.927170899347102,6.584583102538022,2514,14,28.57,1.223,-6.76,3.7833000000000006
高流动性－低波动,EYE,50.126434074482304,38946059.568977356,23.539920702950013,-17.70544222812237,13.150696263978778,2190,14,14.29,0.326,-22.54,-20.016599999999997
高流动性－低波动,EZPW,37.882629826923676,16652948.25668335,1.1664591653305134,5.59394799961237,-1.909838491819893,2514,21,33.33,1.689,-10.94,18.892599999999995
高流动性－低波动,FANG,31.062542597679094,321597704.573822,6.561304243124155,0.8614010476122758,2.05892094881146,2514,17,23.53,0.52,-10.23,-12.2085
高流动性－低波动,FAST,25.345591550351376,287032233.6736679,-0.8716446208362094,1.5175190456055088,-0.2543481162865624,2514,18,22.22,1.457,-15.77,10.170100000000005
高流动性－低波动,FBNC,27.836425085276968,11659373.295593262,6.040161430257873,11.489875903193436,5.840879250695763,2514,18,44.44,1.382,-11.17,7.346399999999997
高流动性－低波动,FCFS,30.371248371015046,51911749.072265625,-5.919402008703123,3.880754529032293,-3.766968260160286,2514,15,26.67,0.806,-15.88,-3.92809999999999
